@RELATION RSSI_X

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE x NUMERIC

@DATA
34,13,33,43,22364
37,19,43,30,22364
28,21,35,43,22364
44,22,34,31,22364
30,14,32,35,22364
32,11,44,35,22364
45,12,42,35,22364
46,12,43,27,22364
38,11,43,28,22364
40,18,43,36,22364
37,21,42,35,22364
34,21,41,35,22364
27,20,42,42,22364
40,20,34,34,22364
36,14,34,32,22364
34,21,42,30,22364
40,21,43,42,22364
38,20,44,27,22364
39,13,48,34,22364
45,21,33,28,22364
46,18,44,31,22364
40,12,33,28,22364
41,12,42,39,22364
29,12,31,35,22364
29,21,44,30,22364
38,19,33,29,22364
40,20,44,34,22364
35,21,38,41,26403
32,17,39,27,26403
34,25,40,38,26403
39,25,34,39,26403
34,25,39,35,26403
31,25,38,37,26403
40,17,40,35,26403
33,20,41,25,26403
39,16,40,38,26403
41,26,35,42,26403
31,21,35,26,26403
37,24,38,40,26403
39,22,41,31,26403
38,24,38,35,26403
27,22,37,37,26403
39,24,35,41,26403
35,23,39,38,26403
34,24,37,41,26403
33,25,41,39,26403
40,25,39,30,26403
32,21,40,35,26403
35,25,38,29,26403
36,25,41,37,26403
37,22,42,31,26403
34,20,42,36,26403
34,17,38,36,26403
29,25,38,34,26403
39,26,37,40,26403
39,16,41,37,26403
33,17,38,37,26403
33,22,35,36,26403
39,21,39,39,26403
38,17,39,32,26403
38,21,38,27,26403
33,24,40,37,26403
40,26,40,37,26403
38,26,39,36,26403
27,23,41,37,26403
34,25,38,25,26403
33,25,38,36,26403
33,24,40,41,26403
31,24,35,36,26403
40,26,41,36,26403
39,26,40,29,26403
38,17,41,38,26403
31,22,42,35,26403
40,25,38,35,26403
40,22,39,42,26403
32,23,36,41,26403
36,22,39,29,26403
39,23,39,26,26403
32,24,37,37,26403
40,24,36,36,26403
41,22,40,29,26403
32,24,39,32,26403
34,21,40,34,26403
40,24,40,29,26403
40,21,39,37,26403
33,26,38,35,26403
41,24,37,40,26403
32,26,41,30,26403
40,24,39,37,26403
32,25,41,35,26403
33,24,41,31,26403
35,19,42,36,30378
36,21,43,38,30378
30,20,45,34,30378
33,21,42,42,30378
36,28,33,30,30378
32,19,34,41,30378
41,19,34,42,30378
31,21,44,39,30378
32,21,34,31,30378
29,27,45,31,30378
36,19,45,46,30378
29,21,42,42,30378
41,25,46,34,30378
39,21,34,34,30378
43,26,45,44,30378
33,22,33,42,30378
37,27,43,45,30378
35,27,34,43,30378
32,19,46,42,30378
39,19,45,34,30378
30,27,41,38,30378
31,18,35,41,30378
30,27,34,42,30378
37,21,42,44,30378
37,21,43,29,30378
39,21,35,30,30378
35,24,41,46,30378
38,28,44,32,30378
41,28,42,44,30378
41,26,44,28,30378
35,23,34,37,30378
39,28,44,43,30378
38,20,44,37,30378
35,21,41,41,30378
30,19,33,32,30378
42,20,42,33,30378
35,20,35,46,30378
38,19,35,39,30378
30,27,45,47,30378
39,22,42,28,30378
29,29,34,30,30378
31,20,41,45,30378
31,22,34,40,30378
39,20,45,37,30378
33,23,33,45,30378
43,22,46,39,30378
38,27,35,47,30378
42,28,42,43,30378
31,21,41,46,30378
34,23,44,32,30378
31,20,45,40,30378
32,21,45,41,30378
32,27,43,46,30378
35,21,34,40,30378
38,21,33,41,30378
31,26,42,44,30378
37,29,44,46,30378
44,28,45,45,30378
32,23,33,30,30378
28,26,30,41,34353
30,17,43,40,34353
31,18,43,41,34353
31,27,30,38,34353
38,16,32,30,34353
24,20,43,32,34353
35,26,42,32,34353
35,26,43,27,34353
39,23,32,44,34353
35,18,28,41,34353
34,27,43,34,34353
28,18,42,30,34353
39,18,29,31,34353
24,25,43,31,34353
34,17,44,39,34353
29,25,42,40,34353
24,17,43,41,34353
31,24,43,33,34353
33,24,31,41,34353
32,23,43,40,34353
32,25,28,30,34353
24,24,28,41,34353
31,25,43,31,34353
33,18,42,39,34353
32,24,31,33,34353
30,24,29,30,34353
31,27,44,41,34353
39,16,42,41,34353
32,17,32,41,34353
32,25,44,38,34353
32,25,43,41,34353
35,26,43,39,34353
34,26,43,39,34353
30,19,44,30,34353
35,25,30,39,34353
34,26,42,32,34353
38,27,43,32,34353
25,27,44,31,34353
38,19,29,39,34353
24,25,43,39,34353
35,17,44,40,34353
24,26,43,45,34353
32,24,32,41,34353
29,25,29,40,34353
23,18,43,40,34353
39,17,30,39,34353
38,24,41,30,34353
24,16,43,32,34353
38,26,44,39,34353
38,24,44,39,34353
38,26,41,38,34353
39,27,44,42,34353
37,25,31,42,34353
36,26,30,31,34353
24,23,31,41,34353
38,23,43,42,34353
24,17,41,40,34353
35,24,41,40,34353
38,17,44,35,34353
35,16,30,40,34353
34,25,32,38,34353
32,16,44,39,34353
38,18,42,31,34353
35,26,45,45,34353
35,21,44,47,38341
31,20,34,39,38341
28,24,43,40,38341
34,26,35,42,38341
29,22,35,48,38341
26,26,37,38,38341
31,27,43,37,38341
32,25,36,47,38341
34,21,35,40,38341
33,26,44,46,38341
31,22,44,37,38341
36,22,44,39,38341
34,22,37,42,38341
35,27,34,48,38341
37,25,36,41,38341
31,21,35,39,38341
34,27,34,40,38341
24,26,36,45,38341
34,26,44,39,38341
33,27,37,40,38341
24,26,36,43,38341
37,23,35,46,38341
34,26,35,41,38341
33,23,44,45,38341
31,27,44,6,38341
27,22,37,48,38341
25,25,36,41,38341
24,22,44,41,38341
25,22,35,44,38341
23,21,44,40,38341
24,28,39,47,38341
25,27,36,49,38341
33,26,44,39,38341
35,26,38,41,38341
33,26,36,39,38341
25,27,37,39,38341
23,26,37,42,38341
25,26,34,49,38341
33,27,45,46,38341
35,26,45,42,38341
25,20,36,41,38341
26,26,37,47,38341
34,22,43,40,38341
35,26,36,40,38341
34,26,44,47,38341
25,26,44,40,38341
24,25,36,47,38341
36,27,45,11,38341
24,26,38,40,38341
24,25,37,39,38341
36,26,33,42,38341
33,22,38,47,38341
34,26,44,42,38341
35,26,35,41,38341
36,20,36,40,38341
32,25,38,40,38341
35,22,37,41,38341
28,21,36,42,38341
29,27,34,46,38341
35,22,45,40,38341
34,27,36,48,38341
37,26,43,39,38341
22,25,35,39,38341
32,26,37,41,38341
35,26,39,36,38341
23,23,44,44,38341
23,22,38,40,38341
29,28,38,49,42316
31,25,30,48,42316
37,26,40,53,42316
28,24,40,47,42316
30,26,39,40,42316
35,28,42,51,42316
33,27,30,42,42316
38,24,37,52,42316
35,28,40,41,42316
32,31,41,53,42316
30,23,38,51,42316
34,25,31,47,42316
30,25,41,41,42316
36,26,40,50,42316
29,27,32,55,42316
32,22,38,52,42316
29,25,30,50,42316
34,24,39,55,42316
35,26,37,52,42316
31,30,41,49,42316
29,26,39,46,42316
36,27,38,41,42316
37,24,31,47,42316
29,28,39,50,42316
35,25,32,48,42316
30,27,41,44,42316
37,27,29,46,42316
29,27,38,47,42316
35,23,41,47,42316
37,28,32,41,42316
31,27,38,39,42316
31,24,30,48,42316
29,27,32,49,42316
35,27,38,43,42316
35,27,41,42,42316
29,26,24,51,42316
30,29,39,47,42316
29,25,33,49,42316
30,29,42,50,42316
38,25,33,49,42316
34,26,40,49,42316
35,25,41,48,42316
36,24,41,51,42316
30,28,42,42,42316
31,23,39,48,42316
35,26,39,50,42316
36,27,40,42,42316
27,26,31,51,42316
37,25,37,52,42316
31,27,31,50,42316
36,29,38,53,42316
30,28,38,51,42316
36,29,38,46,42316
34,24,32,49,42316
31,27,31,49,42316
33,26,37,47,42316
32,25,41,48,42316
34,21,39,47,42316
30,27,37,49,42316
31,26,39,42,42316
32,27,38,41,42316
32,34,32,35,46329
33,33,31,54,46329
33,29,40,51,46329
31,29,39,43,46329
28,34,39,43,46329
29,34,39,54,46329
30,18,31,47,46329
30,34,39,48,46329
35,17,40,38,46329
33,34,39,47,46329
32,33,31,42,46329
32,26,39,55,46329
29,34,38,41,46329
31,19,39,43,46329
34,17,37,51,46329
34,18,30,55,46329
32,18,38,41,46329
34,27,37,41,46329
27,26,30,55,46329
33,17,31,47,46329
28,17,31,55,46329
31,18,38,59,46329
27,30,28,45,46329
35,16,39,43,46329
32,16,40,45,46329
35,27,40,55,46329
35,34,31,48,46329
33,34,30,47,46329
30,29,31,39,46329
33,35,38,54,46329
34,28,41,48,46329
33,35,38,41,46329
29,18,39,54,46329
25,16,31,48,46329
34,17,31,44,46329
27,32,30,51,46329
27,29,30,55,46329
29,25,31,55,46329
28,33,38,53,46329
33,18,39,47,46329
28,27,38,39,46329
27,35,30,48,46329
36,27,30,43,46329
31,17,39,44,46329
29,19,39,47,46329
35,16,40,38,46329
36,16,30,55,46329
29,34,35,42,46329
34,26,38,43,46329
28,16,32,46,46329
28,16,39,47,46329
35,26,39,49,46329
