@RELATION RSSI

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE class        {pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15}

@DATA
38,15,43,42,pos5
45,18,43,43,pos5
36,19,44,29,pos5
41,11,44,40,pos5
29,22,32,35,pos5
35,20,42,35,pos5
37,19,35,30,pos5
40,20,32,32,pos5
38,22,41,34,pos5
39,12,42,27,pos5
45,19,44,39,pos5
29,18,43,38,pos5
42,19,43,30,pos5
37,14,43,28,pos5
32,19,43,38,pos5
37,20,44,43,pos5
33,20,32,35,pos5
41,19,32,35,pos5
39,21,44,31,pos5
41,12,42,44,pos5
36,20,43,43,pos5
34,19,43,29,pos5
35,20,32,38,pos5
33,19,44,43,pos5
46,21,43,39,pos5
37,13,44,29,pos5
33,12,43,30,pos5
40,19,34,33,pos5
34,13,33,43,pos5
37,19,43,30,pos5
28,21,35,43,pos5
44,22,34,31,pos5
30,14,32,35,pos5
32,11,44,35,pos5
45,12,42,35,pos5
46,12,43,27,pos5
38,11,43,28,pos5
40,18,43,36,pos5
37,21,42,35,pos5
34,21,41,35,pos5
27,20,42,42,pos5
40,20,34,34,pos5
36,14,34,32,pos5
34,21,42,30,pos5
40,21,43,42,pos5
38,20,44,27,pos5
39,13,48,34,pos5
45,21,33,28,pos5
46,18,44,31,pos5
40,12,33,28,pos5
41,12,42,39,pos5
29,12,31,35,pos5
29,21,44,30,pos5
38,19,33,29,pos5
40,20,44,34,pos5
35,21,38,41,pos6
32,17,39,27,pos6
34,25,40,38,pos6
39,25,34,39,pos6
34,25,39,35,pos6
31,25,38,37,pos6
40,17,40,35,pos6
33,20,41,25,pos6
39,16,40,38,pos6
41,26,35,42,pos6
31,21,35,26,pos6
37,24,38,40,pos6
39,22,41,31,pos6
38,24,38,35,pos6
27,22,37,37,pos6
39,24,35,41,pos6
35,23,39,38,pos6
34,24,37,41,pos6
33,25,41,39,pos6
40,25,39,30,pos6
32,21,40,35,pos6
35,25,38,29,pos6
36,25,41,37,pos6
37,22,42,31,pos6
34,20,42,36,pos6
34,17,38,36,pos6
29,25,38,34,pos6
39,26,37,40,pos6
39,16,41,37,pos6
33,17,38,37,pos6
33,22,35,36,pos6
39,21,39,39,pos6
38,17,39,32,pos6
38,21,38,27,pos6
33,24,40,37,pos6
40,26,40,37,pos6
38,26,39,36,pos6
27,23,41,37,pos6
34,25,38,25,pos6
33,25,38,36,pos6
33,24,40,41,pos6
31,24,35,36,pos6
40,26,41,36,pos6
39,26,40,29,pos6
38,17,41,38,pos6
31,22,42,35,pos6
40,25,38,35,pos6
40,22,39,42,pos6
32,23,36,41,pos6
36,22,39,29,pos6
39,23,39,26,pos6
32,24,37,37,pos6
40,24,36,36,pos6
41,22,40,29,pos6
32,24,39,32,pos6
34,21,40,34,pos6
40,24,40,29,pos6
40,21,39,37,pos6
33,26,38,35,pos6
41,24,37,40,pos6
32,26,41,30,pos6
40,24,39,37,pos6
32,25,41,35,pos6
33,24,41,31,pos6
35,19,42,36,pos7
36,21,43,38,pos7
30,20,45,34,pos7
33,21,42,42,pos7
36,28,33,30,pos7
32,19,34,41,pos7
41,19,34,42,pos7
31,21,44,39,pos7
32,21,34,31,pos7
29,27,45,31,pos7
36,19,45,46,pos7
29,21,42,42,pos7
41,25,46,34,pos7
39,21,34,34,pos7
43,26,45,44,pos7
33,22,33,42,pos7
37,27,43,45,pos7
35,27,34,43,pos7
32,19,46,42,pos7
39,19,45,34,pos7
30,27,41,38,pos7
31,18,35,41,pos7
30,27,34,42,pos7
37,21,42,44,pos7
37,21,43,29,pos7
39,21,35,30,pos7
35,24,41,46,pos7
38,28,44,32,pos7
41,28,42,44,pos7
41,26,44,28,pos7
35,23,34,37,pos7
39,28,44,43,pos7
38,20,44,37,pos7
35,21,41,41,pos7
30,19,33,32,pos7
42,20,42,33,pos7
35,20,35,46,pos7
38,19,35,39,pos7
30,27,45,47,pos7
39,22,42,28,pos7
29,29,34,30,pos7
31,20,41,45,pos7
31,22,34,40,pos7
39,20,45,37,pos7
33,23,33,45,pos7
43,22,46,39,pos7
38,27,35,47,pos7
42,28,42,43,pos7
31,21,41,46,pos7
34,23,44,32,pos7
31,20,45,40,pos7
32,21,45,41,pos7
32,27,43,46,pos7
35,21,34,40,pos7
38,21,33,41,pos7
31,26,42,44,pos7
37,29,44,46,pos7
44,28,45,45,pos7
32,23,33,30,pos7
28,26,30,41,pos8
30,17,43,40,pos8
31,18,43,41,pos8
31,27,30,38,pos8
38,16,32,30,pos8
24,20,43,32,pos8
35,26,42,32,pos8
35,26,43,27,pos8
39,23,32,44,pos8
35,18,28,41,pos8
34,27,43,34,pos8
28,18,42,30,pos8
39,18,29,31,pos8
24,25,43,31,pos8
34,17,44,39,pos8
29,25,42,40,pos8
24,17,43,41,pos8
31,24,43,33,pos8
33,24,31,41,pos8
32,23,43,40,pos8
32,25,28,30,pos8
24,24,28,41,pos8
31,25,43,31,pos8
33,18,42,39,pos8
32,24,31,33,pos8
30,24,29,30,pos8
31,27,44,41,pos8
39,16,42,41,pos8
32,17,32,41,pos8
32,25,44,38,pos8
32,25,43,41,pos8
35,26,43,39,pos8
34,26,43,39,pos8
30,19,44,30,pos8
35,25,30,39,pos8
34,26,42,32,pos8
38,27,43,32,pos8
25,27,44,31,pos8
38,19,29,39,pos8
24,25,43,39,pos8
35,17,44,40,pos8
24,26,43,45,pos8
32,24,32,41,pos8
29,25,29,40,pos8
23,18,43,40,pos8
39,17,30,39,pos8
38,24,41,30,pos8
24,16,43,32,pos8
38,26,44,39,pos8
38,24,44,39,pos8
38,26,41,38,pos8
39,27,44,42,pos8
