Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
RSSI,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,592.0,305.0,130.0,175.0,0.0,42.622950819672134,57.377049180327866,0.0,0.3853709653274375,0.09108857737937884,0.22485188414780471,73.30209182550709,90.20059244835387,1186.9836365809538,894.8074098442441,292.1762267367096,3.8917496281342747,2.933794786374571,0.9579548417597037,536.2187523364929,1.7580942699557145,13790.879676410294,0.8181818181818182,18.0,0.0353356890459364,10.0,0.9646643109540636,273.0,0.18181818181818182,4.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.9789592033408288,0.4262295081967213,0.04049786056216671,0.9595021394378334,0.5737704918032787,0.4672524812484067,0.4262295081967213,0.4135297663998367,0.8670242121604509,2.125,0.0020,2.119491,0.001664,28235.0,42812.0,23009.0,?
RSSI,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,591.0,306.0,129.0,177.0,0.0,42.15686274509804,57.84313725490196,0.0,0.3780559223746914,0.09061897462891823,0.2217093912194145,72.92862883270398,88.95062474570868,1189.8497202940146,820.7579801572859,369.0917401367286,3.8883977787386095,2.682215621429039,1.2061821573095706,551.966762286702,1.8038129486493528,14189.854683804613,0.8181818181818182,18.0,0.035211267605633804,10.0,0.9647887323943662,274.0,0.18181818181818182,4.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.9788732394366197,0.4215686274509804,0.04378512561118244,0.9562148743888176,0.5784313725490197,0.4309677206167687,0.4215686274509804,0.40204618248482155,0.884992161389616,2.217,0.0010,2.067239,0.001555,28235.0,42743.0,23078.0,?
RSSI,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,593.0,304.0,126.0,178.0,0.0,41.44736842105263,58.55263157894737,0.0,0.3704393149664929,0.0899726942954464,0.21589955139920647,72.40982295199305,86.62291830694079,1181.8619020723347,733.5615319580594,448.3003701142753,3.8877036252379433,2.413031355125195,1.4746722701127477,566.7498727183407,1.8643087918366472,14568.59233262114,0.8181818181818182,18.0,0.03546099290780142,10.0,0.9645390070921985,272.0,0.18181818181818182,4.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.9774339136041263,0.4144736842105263,0.044495323365736396,0.9555046766342635,0.5855263157894737,0.4119821810590842,0.4144736842105263,0.3935194903175355,0.9022178687486438,2.087,0.0010,2.084495,0.0015840000000000001,28235.0,42881.0,22940.0,?
RSSI,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,592.0,305.0,129.0,176.0,0.0,42.295081967213115,57.704918032786885,0.0,0.3804032918960721,0.08774917564507745,0.21959296035124526,70.61394259346002,88.08864234956536,1187.1320496192197,796.7460344794074,390.38601513981234,3.892236228259737,2.612282080260352,1.2799541479993848,571.6009243879414,1.8741013914358735,14701.896418795726,0.9090909090909091,20.0,0.028268551236749116,8.0,0.9717314487632509,275.0,0.09090909090909091,2.0,0.7142857142857143,0.9090909090909091,0.8,0.9910054609701253,0.42295081967213116,0.04270583778880491,0.9572941622111952,0.5770491803278689,0.4304554481682052,0.42295081967213116,0.4097165190128201,0.8803973866115128,2.326,0.0020,2.1884259999999998,0.001609,28235.0,42812.0,23009.0,?
RSSI,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,591.0,306.0,123.0,183.0,0.0,40.19607843137255,59.80392156862745,0.0,0.35779900684656585,0.09210368599387109,0.22441809177483854,74.12392852909306,90.03788642997648,1189.8112461461994,980.0052291921022,209.80601695409723,3.88827204622941,3.2026314679480463,0.6856405782813635,540.7034517459668,1.7670047442678656,13900.299676598253,0.8181818181818182,18.0,0.04225352112676056,12.0,0.9577464788732394,272.0,0.18181818181818182,4.0,0.6,0.8181818181818182,0.6923076923076923,0.9788732394366197,0.4019607843137255,0.044233041329916796,0.9557669586700832,0.5980392156862745,0.4018516994929882,0.4019607843137255,0.38665964012289594,0.8639213202107924,2.113,0.0010,2.110734,0.001648,28235.0,42743.0,23078.0,?
RSSI,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,591.0,306.0,134.0,172.0,0.0,43.790849673202615,56.209150326797385,0.0,0.3959648357701931,0.08843249370905831,0.22132507115463187,71.16857388622856,88.79540134115608,1189.9186050892436,916.0100260885649,273.9085790006786,3.8886228924485082,2.993496817282892,0.8951260751656165,567.8865763788313,1.8558384848981413,14599.559542022716,0.8636363636363636,19.0,0.02464788732394366,7.0,0.9753521126760564,277.0,0.13636363636363635,3.0,0.7307692307692307,0.8636363636363636,0.7916666666666666,0.9847951344430218,0.43790849673202614,0.042406134314754186,0.957593865685246,0.5620915032679739,0.4498438102499293,0.43790849673202614,0.4270004025539066,0.8807119490622202,2.237,0.0010,2.101674,0.001552,28235.0,42743.0,23078.0,?
RSSI,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,593.0,304.0,136.0,168.0,0.0,44.73684210526316,55.26315789473684,0.0,0.4065673584160256,0.08985820155358037,0.22059480668092674,72.31683976199294,88.50442969937261,1182.0236255061175,778.9280115905492,403.09561391556826,3.8882356102174915,2.5622631960215436,1.3259724141959481,552.9507945684908,1.8189170873963512,14214.955938522442,0.6363636363636364,14.0,0.0070921985815602835,2.0,0.9929078014184397,280.0,0.36363636363636365,8.0,0.875,0.6363636363636364,0.7368421052631579,0.9779174725983236,0.4473684210526316,0.04091619651085163,0.9590838034891483,0.5526315789473685,0.4892056826483766,0.4473684210526316,0.4396620133949951,0.8968193704268975,2.107,0.0020,2.104366,0.001578,28235.0,42881.0,22940.0,?
RSSI,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,592.0,305.0,120.0,185.0,0.0,39.34426229508197,60.65573770491803,0.0,0.34834328478870963,0.0904784505560041,0.2342935075215654,72.81490000674854,93.99770828232697,1186.0714422964445,1191.3143196295998,-5.24287733315532,3.8887588272014573,3.905948588949508,-0.01718976174805023,514.679519326287,1.6874738338566788,13231.956630530216,0.7272727272727273,16.0,0.024734982332155476,7.0,0.9752650176678446,276.0,0.2727272727272727,6.0,0.6956521739130435,0.7272727272727273,0.711111111111111,0.9786379698040475,0.39344262295081966,0.04543730602491944,0.9545626939750806,0.6065573770491803,0.3903905392858855,0.39344262295081966,0.36434596445270373,0.8392319209082567,2.215,0.0020,2.079383,0.001552,28235.0,42812.0,23009.0,?
RSSI,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,590.0,307.0,131.0,176.0,0.0,42.671009771986974,57.328990228013026,0.0,0.38507061809325455,0.0884838793061986,0.22168076840165427,71.21142875747502,88.94136411135882,1193.5767870677935,1023.6837794651262,169.89300760266724,3.8878722705791318,3.3344748516779354,0.5533974189011962,555.2864884154948,1.808750776597703,14274.44792669267,0.9090909090909091,20.0,0.028070175438596492,8.0,0.9719298245614035,277.0,0.09090909090909091,2.0,0.7142857142857143,0.9090909090909091,0.8,0.9917065390749601,0.42671009771986973,0.041807901485769995,0.9581920985142299,0.5732899022801303,0.4120381424348638,0.42671009771986973,0.40802791694240065,0.848656489688913,2.252,0.0020,2.118298,0.001565,28235.0,42674.0,23147.0,?
RSSI,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0110310062E7,594.0,303.0,134.0,169.0,0.0,44.224422442244226,55.775577557755774,0.0,0.4008424501257825,0.08875183828252042,0.2173756681013229,71.42635331066784,87.21273739415327,1178.1493507875268,796.983118422329,381.16623236519786,3.8882816857674154,2.630307321525838,1.257974364241577,559.0898853876023,1.8451811398930769,14372.829437104258,0.9545454545454546,21.0,0.028469750889679714,8.0,0.9715302491103203,273.0,0.045454545454545456,1.0,0.7241379310344828,0.9545454545454546,0.823529411764706,0.9957942413458428,0.44224422442244227,0.041300217927086186,0.9586997820729138,0.5577557755775577,0.4922813729776589,0.44224422442244227,0.4267731919131852,0.8845597220981143,2.169,0.0010,2.165201,0.00186,28235.0,42950.0,22871.0,?
